ID,TxLat,TxLon,RxLat,RxLon,h_tx__meter,h_rx__meter,f__mhz,d__km,d_3d__km,L_meas__db,L_fs__db,L_excess__db
611,39.991772,-105.274513,39.99175539,-105.2504254,18,3,3500,2.057182919,2.063090111,132.8756033,109.6217248,23.25387847
612,39.991772,-105.274513,39.99173139,-105.2503231,18,3,3500,2.065918649,2.071794338,133.8222551,109.6582937,24.16396137
613,39.991772,-105.274513,39.99170789,-105.250223,18,3,3500,2.074476685,2.080326428,131.3611575,109.6939906,21.66716689
614,39.991772,-105.274513,39.99168499,-105.2501255,18,3,3500,2.082818725,2.088638388,129.191446,109.728626,19.46282
615,39.991772,-105.274513,39.9916625,-105.2500306,18,3,3500,2.090935143,2.096725229,130.4345281,109.7621913,20.67233679
616,39.991772,-105.274513,39.99163994,-105.2499355,18,3,3500,2.099073672,2.104848735,130.4345281,109.7957787,20.6387494
617,39.991772,-105.274513,39.99161621,-105.249841,18,3,3500,2.107165089,2.112912746,131.1923921,109.8289921,21.36339995
618,39.991772,-105.274513,39.991591,-105.2497436,18,3,3500,2.11551063,2.121227063,128.8475119,109.8631041,18.98440783
619,39.991772,-105.274513,39.99156517,-105.2496438,18,3,3500,2.124061919,2.129752553,123.5045934,109.8979438,13.60664956
620,39.991772,-105.274513,39.99153874,-105.2495416,18,3,3500,2.13281917,2.138483752,127.2403635,109.93348,17.30688352
621,39.991772,-105.274513,39.99147125,-105.2493367,18,3,3500,2.150422442,2.156033891,125.8479955,110.0044726,15.84352295
622,39.991772,-105.274513,39.99143637,-105.2492357,18,3,3500,2.159114684,2.164702511,128.9009428,110.0393253,18.8616175
623,39.991772,-105.274513,39.99140065,-105.2491322,18,3,3500,2.168023126,2.173584741,126.1538592,110.0748924,16.07896678
624,39.991772,-105.274513,39.99136434,-105.2490311,18,3,3500,2.176738301,2.182269724,124.5933175,110.1095294,14.48378806
625,39.991772,-105.274513,39.99132148,-105.2489303,18,3,3500,2.185449115,2.190957553,124.5933175,110.1440402,14.44927734
626,39.991772,-105.274513,39.99127023,-105.2488357,18,3,3500,2.193665488,2.199150708,124.9002498,110.1764607,14.72378906
627,39.991772,-105.274513,39.99121933,-105.2487417,18,3,3500,2.201839483,2.207299689,129.4376259,110.2085869,19.22903897
628,39.991772,-105.274513,39.99116863,-105.2486481,18,3,3500,2.209995955,2.215432068,121.0384614,110.2405296,10.79793176
629,39.991772,-105.274513,39.99111827,-105.248557,18,3,3500,2.21794371,2.223361664,129.031821,110.2715631,18.76025785
630,39.991772,-105.274513,39.99106626,-105.248467,18,3,3500,2.225822381,2.23122111,129.031821,110.3022131,18.72960791
631,39.991772,-105.274513,39.99101469,-105.2483778,18,3,3500,2.233648851,2.239024125,128.0307155,110.3325363,17.69817915
632,39.991772,-105.274513,39.9909638,-105.2482897,18,3,3500,2.241384561,2.246735651,127.1889261,110.3624004,16.82652568
633,39.991772,-105.274513,39.99086109,-105.248112,18,3,3500,2.257036642,2.262343443,132.9382107,110.4225316,22.51567911
